units
"H.M.C.S. ""Galiano."""
29th Bty.
4th Canadian Div. Train
1st Tunnelling Coy.
146th Bn.
2nd Tramway Coy.
258th Bn.
No. 1 Bty.
23rd Bn.
154th Bn.
No. 3 Special Service Coy.
H.Q. 2nd
9th Bty. 3rd Bde.
3rd Field Coy
37th Bn.
"""B"" Coy. 78th Bn."
5th Canadian Div. Ammunition Column
Depot Sqdn.
C.E.F. 21st Bn.
6th Bde.
Imperial Recruits Depot
55th District
Canadian Railway Construction Bn.
64th Regt.
239th Bn.
85th Bn
2nd Depot Bn. (Central Ontario).
1st Depot Bn. (Manitoba).
2nd Composite Bn.
2nd Canadian Constr. Coy.
"H.M.C.S. "" Canada."""
Special Service Coy.
"H.M.C.S. "" Seagull."""
1st (Halifax) Regt.
2nd Army Troops Coy.
5th Siege Bty.
198th Bn.
79th Bn.
7th
65th Bty.
1st Fortress Coy.
7th Bn..
9th Coy.
2nd D.A.C.
59th Bn
177th Bn.
178th Bn.
252nd Bn.
128th Coy.
3rd Reserve Bde.
Canadian H.Q. (Siberia)
202nd Bn.
161st Bn.
2nd/2nd Depot Bn. (Central Ontario).
1st Canadian Construction Bn.
69th Bty.
111th Bn.
120th Bn.
No. 1 Depot
77th Coy.
156th Bn.
Overseas Depot
139th Bn.
255th Bn.
32nd Bty.
163rd Bn.
154th Bn
5th Field Coy.
73rd Bty.
165th Siege Bty.
235th Bn.
3rd Depot Bty.
42nd Regiment.
1st Div. Signal Coy.
No. 4 Canadian Stationary Hospital
"S.S. ""Scottish Hero."""
13th Field Ambulance. 
2nd Div.
123rd Pioneer Bn.
2nd Coy. 16th Bn.
2nd Regt.
"""D"" Coy. 5th Bn."
1st Pontoon Bridging Transport Unit
4th Trench Mortar Bty.
"""D"" Coy. 72nd Bn."
1st Canadian Area Employment Coy.
78th Bn
2nd Field Ambulance
"Regimental Depot, (Central Ontario)."
1st Field Coy.
10th Regt.
"S.S. ""Stanton"""
200th Bn.
209th Bn.
15th Light Horse
20th Coy.
229th Bn
251st Bn.
203rd Bn.
12th Depot
77th Depot Bty.
211th Bn.
137th Bn
17th (Reserve) Bn.
24th Bty. 8th Bde.
"""B"" Coy. 1st Bn."
"S.S. ""Dunelm"""
48th Bn.
24th Bn
"""C"" Coy. 27th Bn."
1st Tank Bn.
4th Div. Ammunition Col.
28th Bn
"""D"" Coy. 58th Bn."
"""A"" Coy."
1st Bde. T.H.Q.
"""A"" Coy. 54th Bn."
1st Bn
2nd Div. Train
226th Bn.
"H.M.S. ""Viknor"""
4th Canadian Div. Ammunition Col.
"H.M.C.S. ""Stadacona."""
112th Bn
3rd Canadian Div. Machine Gun Bn.
Composite Artillery Detachment
25th Bn
1st Depot Bn. (Central Ontario).
"Coast Guard Ship ""Petrel"""
78th Regt.
117th Bn.
No. 1 Special Service Coy. 110th Bn.
16th Bty.
No. 1 Training Depot
Canadian T.M. Battery.
27th Regt. Guard Details
145th Bn
Detachment 7th Regt. Fusiliers
155th Bn
16th Bde.
"H.M.C.S. ""Shearwater."""
122nd Bn.
20th Bty.
24th Coy.
43rd Regt.
69th Bn.
47th Bn. 
42nd Regt.
228th Bn.
1st Div. H.Q.
No. 3 Service Coy.
38th Bty.
"Depot, formerly 64th Bty."
60th Bty.
5th Canadian Div. T.M. Battery.
59th Regt.
109th Bn.
4th Canadian Div. T.M. Battery.
St. Lawrence Canal Patrol
"Regimental Depot, (Alberta)."
12th Field Amb.
4th Canadian Gen. Hosp.
6th Canadian Area Employment Coy.
No. 4 Gen. Hosp.
Reserve Bde.
"H.M. Drifter ""New Dawn"""
4th Bn
233rd Bn.
18 Coy. 
86th Bn.
2nd Depot Bn. (British Columbia).
46th Bn
191st Bn.
225th Bn.
14th Machine Gun Cr.
221st Bn.
3rd Bn
151st Bn.
19th Bn
1st Div. Ammunition Col.
10th Coy.
3rd Siege Bty.
39th Bn
4th Coy.
2nd Div. Supply Col.
"H.M.S. ""Idaho."""
12th (Reserve) Bn.
3rd Div. Signal Coy.
1st Siege Bty.
Composite Bde.
8th (Reserve) Bn.
9th Canadian Gen. Hosp.
25th Coy.
"Regimental Depot, (Saskatchewan)."
2nd Stat. Hosp.
"""A"" Coy. 50th Bn."
No. 1 Coy. 7th Bn.
"""D"" Coy. 27th Bn."
9th (Reserve) Bn.
"Regimental Depot, (Manitoba)."
"""C"" Coy. 5th Bn."
3rd Tunnelling Coy.
"""C"" Coy. 43rd Bn."
8th Bty. 3rd Bde.
8th Field Amb.
1st Motor Machine Gun Bty.
"""C"" Sqdn."
"""C"" Coy. 58th Bn."
2nd Coy. 15th Bn.
4th Field Amb.
Pool
Canadian Light Rly. Operating Coy.
13th Canadian Light Rly. Operating Coy.
52nd Bty. 13th Bde.
Y/1 Trench Mortar Bty.
2nd Field Amb
11th Bty. 3rd Bde.
1st Transport Coy.
4th Bty. 1st Bde.
13th Bty. 13th Bde.
53rd Bty. 13th Bde.
20th Bty. 5th Bde.
13th Bty. 4th Bde.
13th Canadian Light Railway Operating Coy.
"""B"" Coy. 19th Bn."
"H.M.S. ""Carron"""
"""D"" Coy. 1st Bn."
"H.M.S. ""Rowan"""
3rd Canadian Stat. Hospital
"""A"" Coy. 1st Bn."
"""A"" Coy. 13th Bn."
58th Coy.
"""D"" Coy, 43rd Bn."
1st Tramway Coy.
Signal Pool
1st Canadian Gen. Hosp.
1st Can. General Hospital
"""B"" Coy. 4th Bn."
"""C"" Coy. 60th Bn."
"""B"" Coy. 8th Bn."
Eaton's Motor Machine Gun Bty.
4th Div.
11th Coy.
15th Bde.
134th Bn.
"""B"" Coy. 27th Bn."
"""A"" Coy. 219th Bn."
161st Bn
19th (Reserve) Bn.
"2nd/2nd Regimental Depot, (Quebec)."
"""C"" Coy. 49th Bn."
1st Canadian Div. Signal Coy.
"1st Regimental Depot, (Manitoba)."
14th Coy.
150th Bn.
4th Div. Signal Coy.
127th Bn.
13th (Reserve) Bn.
8th Siege Bty.
"1st Regimental Depot, (Alberta)."
135th Coy.
25th (Reserve) Bn.
15th Field Amb.
"""A"" Coy. 38th Bn."
1st Canadian Stationary Hospital
19th Coy.
54th District
"""C"" Coy. 16th Bn."
"""B"" Coy. 3rd Bn."
2nd Reserve Park
"""A"" Coy. 19th Bn."
1st Heavy Bty.
10th Det.
30th Bn.
9th Field Coy.
"""D"" Coy. 38th Bn."
"""D"" Coy."
4th Div. Supply Col.
164th Bn.
23rd (Reserve) Bn.
3rd Field Coy.
"""A"" Coy, 18th Bn."
"""A"" Coy. 43rd Bn."
4th Coy
3rd Div. Supply Col.
4th Field Amb
"""A"" Coy. 3rd Bn."
38th Bn
"""D"" Coy. 49th Bn."
3rd Coy.
2nd Trench Mortar Bty.
8th Bde.
30th Bty. 8th Bde.
8th Coy.
Reserve Depot
74th Bty. (Reserve) Bde.
65th Bty. (Reserve) Bde.
10th Field Coy.
"""A"" Coy. 29th Bn."
5th Army Troops Coy.
7th Field Coy.
Canadian Corps H.Q. Signal Coy.
10th Field Amb.
"""B"" Coy. 20th Bn."
"""C"" Coy. 15th (Reserve) Bn."
76th Bty.
2nd Field Amb. Depot
"""C"" Coy. 28th Bn."
"""D"" Coy. 219th Bn."
121st Bn.
30th Regt.
9th
8th Canadian General Hospital
1st Field Butchery
"1st/1st Regimental Depot, (Central Ontario)."
"""B"" Coy. 38th Bn."
Reserve Coy. 4th Div.
"""A"" Coy. 42nd Bn."
"1st Div. Supply Col., attd. 3rd Field Amb."
5th Field Amb.
"""B"" Coy. 60th Bn."
4th Div. Train
"""C"" Coy. 54th Bn."
"""C"" Coy."
Commanding 3rd Canadian Div.
1st Canadian Vet. Hosp.
4th Field Coy.
22nd (Reserve) Bn.
119th Bn.
1st Canadian General Hospital.
3rd (Reserve) Bde.
38th Bty. 10th Bde.
67th Bty.
21st (Reserve) Bn
1st Div. Train
100th Bn.
64th Bty. Reserve Bde.
24th (Reserve) Bn.
14th (Reserve) Bn.
2nd Canadian Mobile Veterinary Section.
75th Bty.
"""A"" Coy. 87th Bn."
"""C"" Coy. 25th Bn."
7th Bde.
8th Field Coy.
"""A"" Coy. 20th Bn."
Lines of Communication Coy.
"""B"" Coy. 49th Bn."
6th Field Amb
2nd Canadian Div. Ammunition Col.
19th Bty. 4th Bde.
3rd Field Amb
2nd Canadian Div. Ammunition Sub Park.
3rd Canadian Div. Ammunition Sub Park
2nd Casualty Clearing Station
Borden's M.M.G. Bty.
12th Bde. (H.Q.)
1st M.M.G. Bde.
9th Field Amb
7th. Bn.
11th
67th Bty. (Reserve) Bde.
"""B"" Coy. 10th Bn."
"""B"" Coy. 28th Bn."
"""C"" Coy. 13th Bn."
2nd Canadian Field Amb
1st Canadian Field Amb.
5th Bn
"""A"" Coy. 5th Bn."
"""D"" Coy. 85th Bn."
"""C"" Coy. 15th Bn."
8th Bn
"""A"" Coy. 4th Bn."
3rd Trench Mortar Bty.
2nd Heavy Bty.
20th (Reserve) Bn.
9th Stat. Hosp.
10th (Reserve) Bn
206th Bn.
"1st Regimental Depot, (Saskatchewan)."
13th Coy.
3rd Canadian Div. Signal Coy.
21st Bty. 4th Bde.
3rd Ammunition Sub Park
"""C"" Coy. 42nd Bn."
"""D"" Coy. 21st Bn."
"""A"" Coy. 31st Bn."
C.E.M.T. Coy.
"Regimental Depot, 38th Bn."
6th Siege Bty.
"""A"" Coy. 123rd Bn."
17th Bty. 5th Bde.
"H.M.S. ""Niobe"""
"1st/2nd Regimental Depot, (Central Ontario)."
13th Field Amb.
Borden's Motor Machine Gun Bty.
20th Bn
No. 1 Stat. Hosp.
"H.M.S. ""Briton."""
2nd Div. Signalling Coy.
45th Bty. 9th Bde.
"""B"" Bty."
"""B"" Coy. 16th Bn."
No. 3 Coy. 2nd Bn.
1st Can. Div. Ammunition Col.
"""C"" Coy. 2nd Bn."
No. 2 Coy. 15th Bn.
No. 2 Coy. 2nd Bn.
"""D"" Coy. 10th Bn."
"""B"" Coy. 5th Bn."
"""A"" Coy. 58th Bn."
"""B"" Coy. 47th Bn."
Borden's Motor Machine Gun Bty
"""D"" Coy. 116th Bn."
36th Coy.
Cdg.
No. 1 Coy.
"""B"" Coy. 18th Bn."
"""C"" Coy. 18th Bn."
No. 3 Coy.
"""C"" Coy. 29th Bn."
6th Depot
11th Regt.
No. 2 Coy. 28th Bn.
"""B"" Coy. 25th Bn."
No. 3 Coy. 7th Bn.
"""E"" Coy. 2nd Bn."
"""D"" Coy. 54th Bn."
Eaton's Motor Machine Gun Bty
Supernumerary Staff
H.Q.
21st Bn
1st Stat. Hosp.
"""A"" Bty."
"""C"" Coy. 52nd Bn."
4th Div. Mechanical Transport Coy.
3rd Signal Coy.
1st Div.
"""C"" Coy. 4th Bn."
4th Signal Coy.
5th Bty.
131st Siege Bty.
"""C"" Coy. 10th Bn."
"""A"" Coy. 47th Bn."
"""D"" Coy. 47th Bn."
"""B"" Coy., 124th Bn."
"""B"" Coy. 102nd Bn."
"""C"" Coy. 78th Bn."
"""A"" Coy. 44th Bn."
2nd Siege Bty.
"""D."" Coy. 73rd Bn."
12th Field Coy.
"""D"" Coy. 46th Bn."
"""C"" Coy. 50th Bn."
"""A"" Coy. 72nd Bn."
10th
11th Canadian Field Amb.
72nd Bn
"""B"" Coy. 46th Bn."
"""B"" Coy., 75th Bn."
"""C"" Coy. 46th Bn."
4th Army Troops Coy.
"""P"" Coy., 47th Bn."
"H.M.S. ""Vivid III."""
Borden Motor Machine Gun Bty.
4th Div. H.Q.
47th Bn
"""C"" Coy. 47th Bn."
"""D"" Coy. 73rd Bn."
4th Canadian Division Signal Coy.
"""C"" Coy. 85th Bn."
7th Bn
"""A"" Coy. 25th Bn."
"""C"" Coy. 38th Bn."
8th Army Bde. Canadian Field Artillery Park Sect.
11th Field Amb
2nd Div. Signal Coy.
23rd Bty.
"""D"" Coy. 50th Bn."
17th Bty.
"Regimental Depot, (Whitley), 73rd Bn."
114th Bn.
59th Coy.
18th Bn
3rd Sanitary Sect.
16th Bn
31st Bn
10th Bn
104th Regt.
1st Depot Bn. (British Columbia).
"H.M.C.S. ""Galiano"""
"H.M.C.S. ""Rainbow"""
166th Bn.
No. 3 Coy. 1st Bn.
No. 3 Coy. 5th Bn.
"""A"" Coy. 28th Bn."
57th Bn.
1st/1st Depot Bn. (Quebec).
Canadian Anti-Aircraft Bty.
108th Bn.
9th Field Amb.
H.M.C.S. Rainbow.
Imperial Recruits Depot. B.E.F.
"""D"" Coy. 16th Bn."
"""A"" Coy. 8th Bn."
"""C"" Coy. 3rd Bn."
"""B"" Coy., 4th Bn."
"Regimental Depot, (British Columbia)."
1st Stationary Hospital
1st Canadian Div. H.Q.
2nd Can. Reserve Park
12th Bty. 3rd Bde.
2nd Sanitary Sect.
40th Bty. 8th Bde.
52nd Bn. (New Ontario)
75th Bn
"""B"" Coy. 2nd"
"""C"" Coy. 7th Bn."
(Pool)
No. 2 Coy. 14th Bn.
17th Bty. 3rd Bde.
"'A' Coy., 13th Bn."
"H.M.S. ""Stephen Furness."""
"H.M.S. ""Vivid III"""
"""F"" Coy. 46th Bn."
"2nd Div. Ammunition Col.,"
1st Div. Mechanical Transport Coy.
"H.M.S. ""Indefatigable"""
5th Field Amb
12th Bde.
16th Bty. 6th Bde.
33rd Bty. 1st Div. Ammunition Col.
9th Siege Bty.
1st Motor Machine Gun Bde
1st Canadian Tunnelling Coy.
Canadian Light Railway Operating Coy.
"H.Q., 9th Bde."
"Pool, attd. 2nd Tunnelling Coy."
"""C"" Coy. 22nd Bn."
10th Bty. 3rd Bde.
2nd Can. Tunnelling Coy.
2nd Canadian Div.
1st Bty.
"""B"" Coy. 43rd Bn."
85th Coy.
3rd Canadian Stationary Hospital
8th Army Bde.
3rd Bde
No. 1 Stationary Hospital
"""B"" Section 3rd Field Amb"
"""B"" Coy. 13th Bn."
"""D"" Coy. 3rd Bn."
5th Div. Ammunition Col.
12th Siege Bty. 3rd Bde.
Div. Supply Col.
3rd Div. Unit of Supply
"""A"" Coy. 73rd Bn."
2nd Stationary Hospital
49th Bty. 12th Bde.
1st Field Bakery
"""B"" Coy. 2nd Bn."
3rd Div.
14th Bty. 4th Bde.
4th Pioneer Bn.
33rd Bty. 9th Bde.
23rd Bty. 5th Bde.
3rd Divisional Ammunition Col.
26th Bty. 7th Bde.
"""B"" Coy. 24th Bn."
8th Park Sect.
H.M.S. Vivid.
C.R.T.D.
Eastern Ontario Regt.
"H.M.S. ""Vivid."""
13th Bty.
"H.M.S. ""Vivid I"""
10th T.M. Bty.
"H.M.S. ""Vivid. 1"""
87th Bn
"""D"" Coy., 29th Bn."
Yukon Motor Machine Gun Bty.
"""C"" Coy. 26th Bn."
"""D"" Coy. 8th Bn."
14th Bn
"""D"" Coy. 52nd Bn."
"""B"" Coy. 54th Bn."
"""A"" Coy. 75th Bn."
"""B"" Coy. 116th Bn."
"""B"" Coy. 22nd Bn."
"""A"" Coy. 10th Bn."
2nd Machine Gun Coy.
Western Ontario Regt.
"""B"" Coy. 31st Bn."
"""D"" Coy. 42nd Bn."
9th Machine Gun Coy.
"""B"" Coy. 73rd Bn."
"""C"" Coy. 75th Bn."
1st Bde
5th Machine Gun Coy.
"""C"" Coy. 72nd Bn."
"Regimental Depot, (Western Ontario)."
4th Machine Gun Coy.
25th Bty. 7th Bde.
12th Machine Gun Coy.
"""C"" Coy. 31st Bn."
"""A"" Coy. 78th Bn."
"""A"" Sqdn."
"""A"" Coy. 52nd Bn."
Machine Gun Section 20th Bn.
"""D"" Coy. 18th Bn."
"""D"" Coy. 44th Bn."
"""C"" Coy. 54th Bn"
No. 2 Coy.
1st Canadian Div. Ammunition Column
"""A"" Coy. 2nd Bn."
"""B"" Coy. 29th Bn."
"""H"" Coy. 13th Bn."
No. 1 Coy. 10th Bn.
"""A Coy."
44th. Bn.
"""C"" Coy. 21st Bn."
No. 4 Coy. 5th Bn.
"""B"" Coy. 9th Bn."
"""D"" Coy. 28th Bn."
"""A"" Coy. 18th Bn."
14th
"""A"" Coy. 15th Bn."
No. 3 Coy. 13th Bn.
42nd Bn
"""B"" Coy"
"Regimental Depot, (Quebec)."
Commanding Eatons Motor Bty.
6th Howitzer Bde.
No. 2 Coy. 16th Bn.
"""C"" Coy. 19th Bn."
26th Bn
5th Canadian Div. Trench Mortar Battery
5th T.M. Bty.
3rd Div. Ammunition Column
5th Trench Mortar Bty.
88th Regt.
50th Regt.
Div. Ammunition Col. 3rd
"""B"" Coy. 85th Bn."
53rd Bty.
3rd. Bn.
7th Bty. 2nd Bde.
5th Div. Train
"Canadian Cavalry,"
7th Siege Bty.
4th Canadian Siege Bty. 2nd Bde.
129th Bn.
"""B "" Coy. 47th Bn."
Canadian Labour Pool
31st Bty. 9th Bde.
190th Bn.
1st Bn. 1st Bde. H.Q.
6th Canadian Gen. Hosp.
2nd Div. 14th Coy.
23rd Heavy Bty. 5th Bde.
Signal Corps
1st Gen. Hosp.
45th Bn.
Borden's Bty.
30th
1st Bridging Coy.
4th Bty.
"""D"" Coy. 75th Bn."
Cavalry Brigade Machine Gun Sqdn.
"""F"" Coy. 13th Bn."
"""B"" Coy. 7th Bn"
"""G"" Coy. 28th Bn."
"""A""Coy."
Div. Ammunition Col.
"""A""Coy. 31st Bn."
No. 4 Coy.
"""B"" Coy. 87th Bn."
22nd Bn
"""C"" Coy. 102nd Bn."
173rd Bn.
1st Coy. 2nd Bn.
53rd Trench Mortar Bty.
5th Field Ambulance
"""D"" Coy. 19th Bn."
"""A"" Coy. 46th Bn."
2nd Div. Mechanical Transport
No. 2 Coy. 102nd Bn.
15th Can. Gen. Hosp.
2nd Div. Mechanical Transport Coy.
1st Res. Bde.
2nd Canadian Command Depot.
"32nd Bty., 8th Bde."
Pool.
"(M.D., 6th)"
"Regimental Depot, 43rd Bn."
2nd Canadian Div. H.Q.
Cavalry Draft
6th Bty.
"A.D.M.S., London Area"
1st Ammunition Sub. Park
4th Coy. 8th Bn.
"Regimental Depot, 102nd Bn."
179th Bn.
1st Heavy Bty. 2nd Bde.
Training Depot.
"Regimental Depot, 2nd Bn."
2nd Pnr. Bn.
No. 1 Coy. 13th Bn.
H.M. Trawler Othello II
"""C"" Coy. 24th Bn."
H.M.S. Pembroke
"H.M. Armed Drifter, Frons Olivae"
"H.M.S. ""Niobe."""
No. 1. Coy. 1st Bn.
"""C"" Coy. 124th Bn."
32nd Bty. 9th Bde.
61st Bty. 15th Bde.
"""A"" Coy. 85th Bn."
"H.M. Mine Sweeper, Duchess of Fife"
No. 1 Coy. 15th Bn.
"""B"" Coy. 58th Bn."
"""C "" Coy. 85th Bn."
Royal Bn.
44th Bn
82nd Bty. 15th Bde.
Eaton's Motor Machine Gun Battery
"""B"" Coy. 42nd Bn."
17th
27th Coy.
57th Bn
4th Canadian Div. Signal Coy.
H.M.S. Ceto
"H.M. Drifter, Rooke"
"H.M. Drifter, Arcady"
1st Field Ambulance T.S.
Transport Depot
4th Div. Coy.
3rd Reserve Bn.
R.D. Coy.
Railway Construction Coy.
1st Tunnelling Co.
83rd Bn.
No. 4 Coy. 4th Div. Train
3rd Canadian Divisional Employment Coy.
"48th Bty., 2nd Bde."
Div. Train
21st Bty.
36th Bty. 10th Bde.
Regimental Depot
7th (Reserve) Bn.
2nd Construction Coy.
1st C.R.T.
170th Bn.
17th Motor Machine Gun Coy
Reserve Bde
2nd Vet. Corps Hospital
No. 3 Depot
52nd Bty.
58th Bty. 14th Bde.
14th Field Amb
60th Bty. 14th Bde.
66th Bty. 14th Bde.
14th Field Coy.
171st Bn.
4th Can. Div. Ammunition Col.
1st Trench Mortar Bty.
3rd Regimental Depot
"""A"" Coy. 26th Bn."
48th Howitzer Bty.
176th Bn.
81st Bn.
61st Bty. 14th Bde.
1st Canadian Div. T.M. Battery.
"""D"" Coy. 77th Bn."
General Depot
2nd Motor Machine Gun Bde
Pay Office
220th Bn.
101st Bn.
76th Bty. Reserve Bde.
18th Bty. 5th Bde.
No. 1 Field Amb.
3rd Gen. Hosp.
18th (Reserve) Bn.
27th Bn
197th Bn.
18th Bty.
3rd Div. Mechanical Transport Coy.
102nd Bn
247th Bn.
No. 2 Field Coy.
8th Howitzer Bde.
No. 4 Field Amb.
17th Reserve Bn.
248th Bn.
131st Bn.
95th Bn.
1st Signal Coy.
1 Corps Wireless Section
"""C"" Coy. 1st Bn."
40th Bty. 10th Bde.
Base Depot
2nd Canadian Divisional Ammunition Col.
"Canadian H.Q. (Borden), 136th Bn."
9th Motor Machine Gun Bty
No. 1 Detachment
98th Bty.
39th Bty.
3rd Field Ambulance
2nd Bde. H.Q.
2nd Howitzer Bty. 1st Bde.
No. 3 (McGill Univ.) Coy.
